@relation detectMovementType

@attribute mean numeric
@attribute stdDeviation numeric
@attribute min numeric
@attribute max numeric
@attribute movementType {walking,biking,driving}
@attribute sensor {accelerometer}

@data
10.076251,1.162456,7.643133,12.600295,biking,accelerometer
10.115113,1.248334,7.643133,13.946683,biking,accelerometer
10.11501,1.215294,8.255394,13.946683,biking,accelerometer
10.145104,1.421734,7.664107,14.286688,biking,accelerometer
10.162927,1.652827,7.417627,14.286688,biking,accelerometer
9.648747,1.506534,7.417627,13.101515,biking,accelerometer
9.113484,1.432385,3.658793,13.592624,biking,accelerometer
9.193904,1.566018,2.572062,13.592624,biking,accelerometer
9.462821,1.669176,2.572062,15.91632,biking,accelerometer
9.499342,1.41384,5.265464,15.91632,biking,accelerometer
9.619796,1.694366,1.051305,15.813751,biking,accelerometer
9.68748,1.792777,1.051305,15.813751,biking,accelerometer
9.416044,0.867854,7.754505,14.846967,biking,accelerometer
9.245019,0.041895,9.161242,9.353426,biking,accelerometer
9.243949,0.045749,9.10536,9.460637,biking,accelerometer
9.242452,0.046362,9.10536,9.460637,biking,accelerometer
9.243251,0.047963,9.141108,9.555075,biking,accelerometer
9.243865,0.051775,9.03725,9.555075,biking,accelerometer
9.240766,0.041788,9.03725,9.385983,biking,accelerometer
9.237241,0.040397,9.108288,9.358892,biking,accelerometer
9.235792,0.036572,9.138275,9.358892,biking,accelerometer
9.236078,0.029218,9.148524,9.30463,biking,accelerometer
9.231722,0.029821,9.148524,9.302605,biking,accelerometer
9.226969,0.030414,9.146555,9.294344,biking,accelerometer
9.232888,0.11568,8.747935,10.072407,biking,accelerometer
9.232931,0.121605,8.747935,10.072407,biking,accelerometer
9.22534,0.059405,8.970355,9.541462,biking,accelerometer
9.230073,0.055924,8.970355,9.347209,biking,accelerometer
9.227295,0.066474,8.834078,9.350109,biking,accelerometer
9.218345,0.079037,8.834078,9.372155,biking,accelerometer
9.225435,0.061079,8.957481,9.372155,biking,accelerometer
9.233272,0.048882,9.083729,9.439802,biking,accelerometer
9.233126,0.060234,9.035679,9.524354,biking,accelerometer
9.230119,0.048894,9.035679,9.524354,biking,accelerometer
9.222855,0.039123,9.078934,9.33636,biking,accelerometer
9.225135,0.034843,9.139865,9.33636,biking,accelerometer
9.223302,0.030728,9.160946,9.31643,biking,accelerometer
9.21501,0.025979,9.137808,9.289492,biking,accelerometer
9.21866,0.025675,9.135177,9.278245,biking,accelerometer
9.218613,0.027817,9.135177,9.278245,biking,accelerometer
9.211907,0.032897,9.109326,9.298381,biking,accelerometer
9.22751,0.131898,9.105187,10.584037,biking,accelerometer
9.231992,0.132251,9.105187,10.584037,biking,accelerometer
9.217645,0.082705,9.01473,9.551507,biking,accelerometer
9.212804,0.090191,8.979277,9.551507,biking,accelerometer
9.225966,0.118139,8.822353,9.825438,biking,accelerometer
9.190121,0.897934,4.98733,13.424772,biking,accelerometer
9.754362,2.758729,1.987338,19.268882,biking,accelerometer
9.815127,2.791544,1.987338,19.268882,biking,accelerometer
9.103944,3.112054,1.610848,18.121325,biking,accelerometer
9.477749,2.459215,3.557036,16.150831,biking,accelerometer
9.589522,2.064971,3.613704,16.150831,biking,accelerometer
9.484643,1.938099,2.087073,12.487118,biking,accelerometer
9.494931,2.000494,2.087073,12.487118,biking,accelerometer
9.543689,1.986974,3.721117,13.736728,biking,accelerometer
9.240179,2.203959,3.42379,13.736728,biking,accelerometer
9.018681,2.369645,3.42379,12.928128,biking,accelerometer
9.430303,2.40516,2.960036,12.928128,biking,accelerometer
9.664862,2.312778,2.960036,13.363288,biking,accelerometer
